CB Constituent ID,CB Constituent Type,CB First Name,CB Last Name,CB Company Name,CB Created At,CB Email 1 (Standardized),CB Email 2 (Standardized),CB Title,CB Tags,CB Background Information,CB Lifetime Donation Amount,CB Most Recent Donation Date
4862,Person,Cynthia,Mckinney,"",2021-10-27 00:00,dwood@martinez.com,,"","[Pitch Perfect, Major Donor, NULL]",Job Title: HR Coordinator; Marital Status: Married,$3600.00,2024-06-12
3203,Person,Joshua,Gonzales,"",2022-11-10 00:00,katiecarr@daniels-olsen.com,,"","[Pitch Perfect, Board Member, Board Member, Major Donor, NULL]",Job Title: Business Analyst; Marital Status: Single,$11000.00,2020-09-25
3927,Company,,,Allen-Stephens,2018-01-04 00:00,charles63@ramos.com,,"","[Major Donor, Major Donor, Major Donor, NULL]",Job Title: Administrative Assistant; Marital Status: Married,$5750.00,2024-07-26
5321,Company,,,"Cook, Walls and Ryan",2015-12-24 00:00,flowersdavid@hotmail.com,,"",[NULL],Marital Status: Unknown,$5100.00,2021-10-07
1825,Company,april,barber,"Villanueva, Bowen and Smith",2016-11-07 00:00,javierperez@davis.com,,Mr.,[NULL],Marital Status: Single,$11500.00,2021-09-10
5032,Company,,,Johnson-Mills,2018-03-21 00:00,simpsondouglas@ortiz-miles.net,,"","[Major Donor, Pitch Perfect, Major Donor, NULL]",Marital Status: Unknown,$3050.00,2021-12-13
6822,Person,Nicole,Benson,"",2022-10-30 00:00,,,"","[Board Member, Major Donor, NULL]",Job Title: UX Designer; Marital Status: Single,$10200.00,2023-05-14
6197,Person,Angela,Spencer,"",2024-11-27 00:00,antoniomalone@gmail.com,,Mr.,"[Major Donor, Pitch Perfect, NULL, NULL, NULL]",Marital Status: Married,$200.00,2022-11-04
7497,Person,Jennifer,Luna,"",2019-02-09 09:30,robertmunoz@hotmail.com,,Dr.,"[Summer 2016, NULL]",Marital Status: Unknown,$4050.00,2020-10-31
7040,Person,Patrick,Woods,"",2022-04-19 00:00,vanessa45@yaho.com,,"",[Summer 2016],Marital Status: Unknown,$100.00,2024-07-25
9432,Company,,,"Green, Evans and Evans",2021-02-13 00:00,joshuaparker@hotmal.com,,"","[Summer 2016, NULL]",Job Title: Marketing Manager; Marital Status: Married,$15000.00,2019-06-20
5049,Person,Robert,Powers,"",2017-04-02 00:00,sperez@martinez.com,,Mrs.,"[Major Donor, Pitch Perfect, NULL]",Marital Status: Unknown,$3100.00,2024-08-04
8101,Person,James,Pope,"",2019-05-09 00:00,howardcarlos@gmail.com,,Ms.,[NULL],Job Title: Sales Executive; Marital Status: Married,$4500.00,2023-04-02
8548,Person,Nicholas,Cooper,"",2022-09-25 00:00,laurenfields@yahoo.com,,"","[Summer 2016, Pitch Perfect, Board Member]",Marital Status: Unknown,$6500.00,2022-01-01
4051,Person,Julia,Spencer,"",2024-01-28 00:00,william10@hotmail.com,,Mr.,"[Major Donor, Major Donor, Major Donor]",Job Title: Accountant; Marital Status: Married,$4050.00,2024-09-05
9965,Person,Shane,Meza,"",2015-09-05 00:00,kelly82@solomon.info,,"","[NULL, NULL]",Job Title: Nurse Practitioner; Marital Status: Married,$5100.00,2024-10-20
2581,Person,Lori,Cummings,"",2018-11-20 00:00,alyssagarcia@gmail.com,,"",[NULL],Job Title: Chief Technology Officer; Marital Status: Unknown,$10100.00,2024-09-27
7022,Person,Melissa,Harrison,"",2019-08-30 00:00,ujackson@reed-perez.com,,"","[Major Donor, Major Donor]",Job Title: Accountant; Marital Status: Single,$5250.00,2024-09-19
3240,Company,,,Davis-Anthony,2018-03-09 00:00,hartjames@hotmail.com,,"",[Pitch Perfect],Job Title: Nurse Practitioner; Marital Status: Unknown,$2000.00,2020-09-16
7963,Person,John,Stanton,"",2015-04-24 00:00,daniel74@bryan.com,,Mrs.,"[Board Member, Pitch Perfect]",Marital Status: Unknown,$9500.00,2024-02-21
5034,Company,courtney,haney,Lawrence LLC,2017-07-02 00:00,,,Mr.,"[Pitch Perfect, Pitch Perfect]",Marital Status: Unknown,$1500.00,2022-07-25
5767,Person,Chase,Pena,"",2020-11-20 00:00,richard99@hampton.com,,"","[Pitch Perfect, Major Donor, NULL]",Job Title: Graphic Designer; Marital Status: Married,$5350.00,2024-12-20
1102,Person,Michael,Munoz,"",2019-06-17 00:00,warrendaniel@gmail.com,,"","[Board Member, Major Donor, NULL, NULL, NULL]",Marital Status: Unknown,$5350.00,2023-11-30
3973,Person,Kyle,Parsons,"",2021-09-01 00:00,kaylaprice@york-vance.com,,Dr.,"[Pitch Perfect, Summer 2016, Pitch Perfect, NULL, NULL]",Marital Status: Married,$5150.00,2024-01-28
3140,Person,Claudia,Chambers,"",2023-09-11 00:00,bday@odom-archer.com,,"",[Pitch Perfect],Marital Status: Single,$5000.00,2023-06-10
6605,Person,James,Trujillo,"",2023-06-28 00:00,wesleyjones@gibson.com,,Mrs.,"[Summer 2016, Summer 2016, Major Donor, Pitch Perfect, NULL]",Marital Status: Unknown,$1250.00,2021-10-14
7369,Person,Dawn,Lindsey,"",2024-03-28 00:00,jacob66@yahoo.com,,Ms.,"[Board Member, Pitch Perfect, Major Donor, Major Donor]",Job Title: Administrative Assistant; Marital Status: Unknown,$3200.00,2024-04-19
4668,Person,Cole,White,"",2024-02-28 00:00,ereese@hotmail.com,,Dr.,"[Pitch Perfect, Major Donor, Pitch Perfect, NULL]",Job Title: Project Manager; Marital Status: Married,$13000.00,2021-10-07
5301,Person,Maureen,Weber,"",2021-08-09 00:00,corey36@gmail.com,,"","[Pitch Perfect, Major Donor, Summer 2016, Pitch Perfect, NULL]",Job Title: Business Analyst; Marital Status: Unknown,$20000.00,2022-12-24
4566,Company,,,"Banks, Watkins and Gomez",2018-12-09 00:00,cynthiarogers@moore.info,,"","[Major Donor, Major Donor, Board Member]",Job Title: Chief Technology Officer; Marital Status: Single,$11000.00,2023-02-06
7564,Company,connie,lyons,Dodson-Austin,2017-09-23 00:00,yolson@gmaill.com,,Mrs.,[NULL],Marital Status: Married,$600.00,2022-07-29
4107,Person,Robert,Powers,"",2023-02-26 00:00,cooleyaustin@solis.com,,Dr.,[NULL],Job Title: Administrative Assistant; Marital Status: Married,$5350.00,2021-08-02
6522,Person,Brian,Schmidt,"",2019-10-01 00:00,andrea62@gmail.com,,"","[NULL, NULL]",Marital Status: Unknown,$1100.00,2023-03-13
2085,Person,David,Smith,"",2015-10-13 00:00,smalljessica@hotmail.com,,"","[Pitch Perfect, Summer 2016, NULL]",Marital Status: Married,$350.00,2019-03-22
4039,Person,Hannah,Clark,"",2022-11-14 00:00,emilylopez@yahoo.com,,"","[Major Donor, Pitch Perfect, NULL]",Job Title: Operations Manager; Marital Status: Unknown,$1250.00,2021-06-09
4615,Person,Laura,Jackson,"",2022-07-22 00:00,,,"",[NULL],Marital Status: Single,$10250.00,2023-10-29
1854,Person,Ricky,David,"",2020-08-03 00:00,mayertammy@collins-vasquez.org,,Dr.,"[Summer 2016, Pitch Perfect, Summer 2016, NULL, NULL]",Marital Status: Single,$15050.00,2023-02-02
3446,Person,Wanda and James,Bryant,"",2015-07-16 00:00,,,"",[Major Donor],Marital Status: Unknown,$200.00,2023-09-28
1288,Person,Rebecca,Maynard,"",2021-06-23 00:00,fsteele@hotmail.com,,Mrs.,"[Summer 2016, Major Donor]",Job Title: Data Scientist; Marital Status: Single,$700.00,2023-04-01
3194,Person,David,Villanueva,"",2022-12-16 00:00,collierdiana@ortiz.com,,"","[Pitch Perfect, NULL, NULL]",Job Title: Marketing Manager; Marital Status: Unknown,$5050.00,2020-03-23
8308,Person,Robert,Donovan,"",2021-01-20 00:00,jennifernorton@hotmail.com,,Ms.,"[Pitch Perfect, Pitch Perfect]",Marital Status: Unknown,$500.00,2020-04-27
6846,Person,James,Nichols,"",2022-02-04 00:00,andreahines@yahoo.com,,"","[Major Donor, Major Donor, Summer 2016, Major Donor]",Marital Status: Unknown,$100.00,2020-03-11
6020,Person,Katherine & Dan,Johnson,"",2015-12-26 00:00,,,"","[Major Donor, Pitch Perfect, NULL]",Job Title: UX Designer; Marital Status: Unknown,$5000.00,2023-03-01
4926,Person,Joshua,Rush,"",2018-03-20 00:00,,,"",[NULL],Marital Status: Unknown,$10600.00,2020-04-17
3677,Company,,,duncan group,2015-04-14 00:00,april70@hernandez.biz,,"","[Pitch Perfect, Pitch Perfect, Summer 2016, Summer 2016, NULL]",Marital Status: Single,$13050.00,2022-06-01
4036,Company,Grant,Brennan,"Guerrero, Diaz and Odom",2018-11-27 00:00,,,Mr.,"[Summer 2016, Pitch Perfect, Major Donor, NULL, NULL]",Job Title: IT Consultant; Marital Status: Single,$15000.00,2020-12-08
9734,Person,yvonne,russell,"",2021-02-25 00:00,victoria10@gmal.com,,"","[Pitch Perfect, Board Member, Summer 2016]",Marital Status: Unknown,$15500.00,2022-10-29
2936,Person,Natalie,Smith,"",2016-11-10 00:00,lawrence72@olson.com,,Dr.,"[Major Donor, Pitch Perfect]",Marital Status: Unknown,$11100.00,2023-03-04
5967,Company,Benjamin,Park,Paul-Kim,2023-12-30 00:00,lisa94@wong.biz,,"",[NULL],Job Title: Chief Technology Officer; Marital Status: Married,$10250.00,2018-07-02
3506,Company,Jason,Moore,Used to work here.,2015-03-27 00:00,traciemcpherson@palmer.com,,"",[NULL],Marital Status: Unknown,$5500.00,2023-02-15
2382,Person,Mark,Peters,"",2018-05-21 00:00,,,Mrs.,"[Major Donor, Pitch Perfect, Pitch Perfect, Board Member]",Job Title: IT Consultant; Marital Status: Single,,
9821,Company,,,Gutierrez Group,2020-08-22 00:00,klinejose@gmail.com,,"","[Major Donor, Pitch Perfect, NULL]",Marital Status: Unknown,,
6523,Person,Michele,Burton,"",2016-12-31 00:00,browneric@patton.biz,,Mr.,"[Major Donor, Major Donor, NULL]",Marital Status: Unknown,,
8977,Person,James,Baker,"",2020-01-19 00:00,walkerjeremy@long.org,,Dr.,[NULL],Marital Status: Unknown,,
2596,Person,Shelia,Yates,"",2015-08-31 00:00,,,Mrs.,"[NULL, NULL]",Job Title: Administrative Assistant; Marital Status: Unknown,,
3660,Company,,,Vaughn LLC,2018-03-20 00:00,wcochran@hotmail.com,,"",[Summer 2016],Marital Status: Married,,
2686,Person,Jason,Kramer,"",2023-06-13 00:00,oarmstrong@gmail.com,,Dr.,"[Major Donor, Board Member, NULL]",Marital Status: Unknown,,
2798,Person,Jessica,Sheppard,"",2019-08-20 00:00,tarasanchez@robinson.com,,Mr.,"[Summer 2016, Major Donor]",Job Title: Graphic Designer; Marital Status: Married,,
3054,Person,cody,WRIGHT,"",2022-08-05 00:00,yjohns@bass.com,,Dr.,"[Major Donor, Board Member, Major Donor]",Marital Status: Unknown,,
4646,Person,Jon,Hunter,"",2019-01-30 00:00,edward64@hotmail.com,,Mr.,"[Pitch Perfect, Summer 2016, NULL, NULL]",Job Title: Nurse Practitioner; Marital Status: Single,,
4944,Person,Christopher,Schneider,"",2023-04-14 00:00,gdickerson@gmal.com,,"","[Board Member, NULL]",Job Title: Marketing Manager; Marital Status: Married,,
